mode,method,iterations,final_objective,latency,error,complexity,constraint_violation
Real-Time,GD,7,48953703762591094537191424.000000,130357213607.2329,11.6568,348775.580043,1918112807275.624
Real-Time,NEWTON,6,1966775377846331325493396111360.000000,8018331996678.976,16.9096,928932.074551,444241281420062.5
Real-Time,BFGS,62,-0.590417,8.3747,0.4137,-628.957702,0.23569
Real-Time,LBFGS,24,-2.413891,8.4985,0.406,-1340.130734,0.005999
Real-Time,NCG,16,-5.014130,7.9589,0.3989,-2665.301058,0.096558
Balanced,GD,7,223231555909330170846117888.000000,307576821171.1793,13.3838,248380.175316,3902694525547.8706
Balanced,NEWTON,5,2667692600609538664562688.000000,30430573915.4461,4.893,1052523.196614,447764106373.3304
Balanced,BFGS,36,0.142343,8.1835,0.353,-84.809637,0.126731
Balanced,LBFGS,15,-4.412597,8.5519,0.3555,-2326.810256,0.005514
Balanced,NCG,7,-2.560323,8.0138,0.3566,-1405.251684,0.00659
High-Accuracy,GD,7,21591886381544650307534848.000000,86574004904.0602,12.952,519627.918382,1273874643440.6572
High-Accuracy,NEWTON,5,758516051883628068601856.000000,17244056632.6795,7.2675,1159034.389287,236537440290.44708
High-Accuracy,BFGS,54,0.889846,8.2375,0.2642,-54.11458,0.364082
High-Accuracy,LBFGS,17,-3.480942,8.5547,0.2567,-1848.195054,0.006659
High-Accuracy,NCG,9,-0.463759,7.7737,0.2429,-311.549972,0.0
Real-Time,NCG,315,,11.865,0.2779999999999999,,0.0
Real-Time,SLSQP,98,-0.3724185049148576,2.1121335891365804,0.2312837755902702,-240.91454193202915,0.0
Real-Time,trust-constr,112,-0.1951222855912638,2.112432387734952,0.2319947159421002,-152.40981553499174,0.0
Balanced,NCG,315,,19.775,0.2779999999999999,,0.0
Balanced,SLSQP,80,-0.3132643733375055,2.159224469766458,0.2511888931211174,-215.50686317204205,0.0
Balanced,trust-constr,193,-0.08796380801304543,2.1570273559624225,0.2419561124565418,-101.00123592168076,0.0
High-Accuracy,BFGS,118,,29.76,0.291,,0.0
High-Accuracy,NCG,315,,31.64,0.2779999999999999,,0.0
High-Accuracy,SLSQP,103,-0.46803044190361015,2.2038723458639193,0.2530405109601022,-293.4388125272812,0.0030405109601022
High-Accuracy,trust-constr,310,-1.2334364067841235,2.203650788692949,0.2528593471902834,-676.1046759848902,0.0028593471902834
Real-Time,GD,290,,11.535,0.282,,0.0
Real-Time,NM,205,,11.625,0.312,,0.0
Real-Time,BFGS,118,,11.16,0.291,,0.0
Real-Time,LBFGS,62,,10.98,0.294,,0.0
Real-Time,NCG,315,,11.865,0.27799999999999997,,0.0
Real-Time,SLSQP,118,-0.5124999021327796,2.1115126905935235,0.22816588335933902,-310.32917850063166,0.0
Real-Time,trust-constr,235,-0.22112275113986032,2.1132182768185572,0.23528178797342297,-166.070606271889,0.0
Balanced,GD,290,,19.225,0.282,,0.0
Balanced,NM,205,,19.375,0.312,,0.0
Balanced,BFGS,118,,18.6,0.291,,0.0
Balanced,LBFGS,62,,18.3,0.294,,0.0
Balanced,NCG,315,,19.775000000000002,0.27799999999999997,,0.0
Balanced,SLSQP,133,-0.4306347743631622,2.1585091083081815,0.2477184538565337,-273.4951143861205,0.0
Balanced,trust-constr,183,-0.21635179806008092,2.1610340011132183,0.26008242053393793,-168.83651914128092,0.0
High-Accuracy,GD,290,,30.76,0.282,,0.0
High-Accuracy,NM,205,,31.0,0.312,,0.0
High-Accuracy,BFGS,118,,29.759999999999998,0.291,,0.0
High-Accuracy,LBFGS,62,,29.28,0.294,,0.0
High-Accuracy,NCG,315,,31.64,0.27799999999999997,,0.0
High-Accuracy,SLSQP,91,-0.3747320763821229,2.2040881641161123,0.25446803939161505,-247.07599872584893,0.004468039391615053
High-Accuracy,trust-constr,254,-1.5636813626745734,2.2032905115246852,0.25279043542385954,-841.2119304681572,0.0027904354238595386
